Country,SiteID,SiteName,StudyNumber,Measure_Year,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Latitude,Longitude,RS_Paper,RS_Norm,Tsoil(C),SoilMoisture(%),Meas_Method,IGBP_FromPaper,Ecosystem_type,Leaf_habit,DOY_Frequency,Tm,Comments
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,6,172,45.5,-93.17,45.75,-93.25,0.999,6.305,8.659,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,6,172,45.5,-93.17,45.75,-93.25,0.648,4.09,8.659,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/day
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,6,172,45.5,-93.17,45.75,-93.25,0.643,4.058,8.659,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,6,180,45.5,-93.17,45.75,-93.25,0.841,5.308,8.684,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,6,180,45.5,-93.17,45.75,-93.25,0.531,3.351,8.684,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,6,180,45.5,-93.17,45.75,-93.25,0.773,4.879,8.684,,IRGA,DBF,Forest,Deciduous,12,19.5,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,7,187,45.5,-93.17,45.75,-93.25,0.786,4.961,9.621,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,7,187,45.5,-93.17,45.75,-93.25,0.555,3.503,9.621,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/day
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,7,187,45.5,-93.17,45.75,-93.25,0.871,5.497,9.621,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,7,194,45.5,-93.17,45.75,-93.25,1.014,6.4,10.345,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,7,194,45.5,-93.17,45.75,-93.25,0.413,2.606,10.345,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,7,194,45.5,-93.17,45.75,-93.25,0.604,3.812,10.345,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/day
USA,US-MCS,Minnesota-Cedar Creek-Swamp,35,1966,7,203,45.5,-93.17,45.75,-93.25,0.595,3.755,9.028,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/day
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,7,203,45.5,-93.17,45.75,-93.25,0.486,3.067,9.028,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/day
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,7,203,45.5,-93.17,45.75,-93.25,0.549,3.465,9.028,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCO,Minnesota-Cedar Creek-Oak,35,1966,7,211,45.5,-93.17,45.75,-93.25,0.619,3.907,9.964,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/hr
USA,US-MCF,Minnesota-Cedar Creek-Fen,35,1966,7,211,45.5,-93.17,45.75,-93.25,0.603,3.806,9.964,,IRGA,DBF,Forest,Deciduous,12,23.4,GMC co2/m2/hr to C/m2/day
