StudyNumber,Country,SiteName,SiteID,RS_Paper,RS_Norm,Measure_Year,Measure_Season,Measure_Month,Measure_DOY,Lat_Original,Long_Original,Tsoil(C),SoilMoisture(%),TimeLable,MiddleClimate,MiddleVegType,Meas_Method,Comments
1054,USA,US-HarvardForest,US-Har,,0.653188,1992,Autumn,9,244,42.32,-72.11,,,22,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.570244,1992,Autumn,9,244,42.32,-72.11,6,,23,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.6169,1992,Autumn,9,244,42.32,-72.11,,,24,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.362882,1992,Autumn,9,244,42.32,-72.11,,,2,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.306376,1992,Autumn,9,244,42.32,-72.11,,,14,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.26957,1992,Autumn,9,244,42.32,-72.11,4.67,,3,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.223432,1992,Autumn,9,244,42.32,-72.11,12.12,,15,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.228097,1992,Autumn,9,244,42.32,-72.11,,,4,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,1.088647,1992,Autumn,9,244,42.32,-72.11,,,16,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.238466,1992,Autumn,9,244,42.32,-72.11,4.8,,5,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.96423,1992,Autumn,9,244,42.32,-72.11,9.5,,17,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.279938,1992,Autumn,9,244,42.32,-72.11,,,6,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.829445,1992,Autumn,9,244,42.32,-72.11,,,18,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.767237,1992,Autumn,9,244,42.32,-72.11,7.94,,19,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.736133,1992,Autumn,9,244,42.32,-72.11,,,20,Df,DF,,
1054,USA,US-HarvardForest,US-Har,,0.715397,1992,Autumn,9,244,42.32,-72.11,6.83,,21,Df,DF,,
1068,New zealand,NZ-balmoral,NZ-bal,,3.392263,1994,Spring,11,321,-42.49,172.43,11.648,,23,Cf,DF,,
1068,New zealand,NZ-balmoral,NZ-bal,,4.915474,1994,Spring,11,321,-42.49,172.43,14.988,,14,Cf,DF,,
1068,New zealand,NZ-balmoral,NZ-bal,,4.335998,1994,Spring,11,321,-42.49,172.43,15.186,,16,Cf,DF,,
1068,New zealand,NZ-balmoral,NZ-bal,,5.629215,1994,Spring,11,321,-42.49,172.43,10.93,,6,Cf,DF,,
1068,New zealand,NZ-balmoral,NZ-bal,,5.191429,1994,Spring,11,321,-42.49,172.43,15.134,,7,Cf,DF,,
1068,New zealand,NZ-balmoral,NZ-bal,,5.128775,1994,Spring,11,321,-42.49,172.43,12.659,,21,Cf,DF,,
1068,New zealand,NZ-balmoral,NZ-bal,,3.881495,1994,Spring,11,321,-42.49,172.43,11.175,,9,Cf,DF,,
1078,Benin,Ouidah,BE-OUI,4.151,4.303,1983,Spring,3,80,6.23,2.08,23.81,,7,A,EF,IRGA,
1078,Benin,Ouidah,BE-OUI,4.595,4.764,1983,Spring,3,80,6.23,2.08,24.79,,9,A,EF,IRGA,
1078,Benin,Ouidah,BE-OUI,5.084,5.271,1983,Spring,3,80,6.23,2.08,26.47,,10,A,EF,IRGA,
1078,Benin,Ouidah,BE-OUI,5.572,5.777,1983,Spring,3,80,6.23,2.08,28.088,,12,A,EF,IRGA,
1078,Benin,Ouidah,BE-OUI,5.52,5.723,1983,Spring,3,80,6.23,2.08,28.28,,13,A,EF,IRGA,
1078,Benin,Ouidah,BE-OUI,5.568,5.772,1983,Spring,3,80,6.23,2.08,29.88,,14,A,EF,IRGA,
1078,Benin,Ouidah,BE-OUI,5.565,5.769,1983,Spring,3,80,6.23,2.08,29.297,,15,A,EF,IRGA,
1078,Benin,Ouidah,BE-OUI,5.563,5.767,1983,Spring,3,80,6.23,2.08,28.48,,17,A,EF,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,814.877,5.322,1992,Summer,7,203,36.02,140.12,30.326,,12,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,883.376,5.77,1992,Summer,7,203,36.02,140.12,29.783,,13,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,892.349,5.828,1992,Summer,7,203,36.02,140.12,29.13,,14,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,885.895,5.786,1992,Summer,7,203,36.02,140.12,28.587,,15,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,910.31,5.946,1992,Summer,7,203,36.02,140.12,27.826,,16,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,950.139,6.206,1992,Summer,7,203,36.02,140.12,26.956,,17,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,831.157,5.429,1992,Summer,7,203,36.02,140.12,26.738,,18,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,736.475,4.81,1992,Summer,7,203,36.02,140.12,26.413,,19,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,670.442,4.379,1992,Summer,7,203,36.02,140.12,23.152,,20,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,615.41,4.019,1992,Summer,7,203,36.02,140.12,20.043,,21,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,514.131,3.358,1992,Summer,7,203,36.02,140.12,22.826,,22,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,582.65,3.805,1992,Summer,7,203,36.02,140.12,21.847,,23,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,538.689,3.518,1992,Summer,7,203,36.02,140.12,22.065,,24,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,530.015,3.461,1992,Summer,7,203,36.02,140.12,22.283,,1,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,532.363,3.477,1992,Summer,7,203,36.02,140.12,22.391,,2,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,497.207,3.247,1992,Summer,7,203,36.02,140.12,21.522,,3,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,512.798,3.349,1992,Summer,7,203,36.02,140.12,21.196,,4,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,437.948,2.86,1992,Summer,7,203,36.02,140.12,22.065,,5,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,482.229,3.149,1992,Summer,7,203,36.02,140.12,23.152,,6,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,559.565,3.655,1992,Summer,7,203,36.02,140.12,23.913,,7,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,632.495,4.131,1992,Summer,7,203,36.02,140.12,26.63,,8,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,727.491,4.751,1992,Summer,7,203,36.02,140.12,31.956,,9,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,749.7,4.896,1992,Summer,7,203,36.02,140.12,37.174,,10,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,789.549,5.157,1992,Summer,7,203,36.02,140.12,40,,11,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,718.201,4.691,1992,Summer,8,229,36.02,140.12,40.326,,12,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,666.357,4.352,1992,Summer,8,229,36.02,140.12,42.065,,13,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,644.476,4.209,1992,Summer,8,229,36.02,140.12,39.674,,14,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,609.304,3.979,1992,Summer,8,229,36.02,140.12,35.978,,15,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,605.056,3.952,1992,Summer,8,229,36.02,140.12,35.543,,16,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,640.472,4.183,1992,Summer,8,229,36.02,140.12,32.5,,17,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,592.066,3.867,1992,Summer,8,229,36.02,140.12,30.978,,18,Cf,CRO,IRGA,
1092,Japan,National Institute for Agro-Environmental Science,JA-NIF,552.51,3.608,1992,Summer,8,229,36.02,140.12,27.065,,19,Cf,CRO,IRGA,
